activity,activities_code,states,activities_name
hiking,foda,tx,fort davis national historic site
hiking,fodo,"ky,tn",fort donelson national battlefield
hiking,fofo,md,fort foote park
hiking,fofr,ga,fort frederica national monument
hiking,fomc,md,fort mchenry national monument and historic shrine
hiking,fomr,va,fort monroe national monument
hiking,fone,pa,fort necessity national battlefield
hiking,fopu,ga,fort pulaski national monument
hiking,fost,ny,fort stanwix national monument
hiking,frhi,pa,friendship hill national historic site
hiking,frsp,va,fredericksburg and spotsylvania national military park
hiking,frst,"de,pa",first state national historical park
hiking,gaar,ak,gates of the arctic national park and preserve
hiking,gett,pa,gettysburg national military park
hiking,gewa,va,george washington birthplace national monument
hiking,gicl,nm,gila cliff dwellings national monument
hiking,glac,mt,glacier national park
hiking,glba,ak,glacier bay national park and preserve
hiking,glca,"az,ut",glen canyon national recreation area
hiking,goga,ca,golden gate national recreation area
hiking,gosp,ut,golden spike national historical park
hiking,grba,nv,great basin national park
hiking,grca,az,grand canyon national park
hiking,gree,md,greenbelt park
hiking,greg,nj,great egg harbor river
hiking,grfa,va,great falls park
hiking,grko,mt,grant-kohrs ranch national historic site
hiking,grpo,mn,grand portage national monument
hiking,grsa,co,great sand dunes national park and preserve
hiking,grsm,"nc,tn",great smoky mountains national park
hiking,grte,wy,grand teton national park
hiking,guis,"fl,ms",gulf islands national seashore
hiking,gumo,tx,guadalupe mountains national park
hiking,hafe,"wv,va,md",harpers ferry national historical park
hiking,hafo,id,hagerman fossil beds national monument
hiking,hale,hi,haleakala national park
hiking,hamp,md,hampton national historic site
hiking,havo,hi,hawaii volcanoes national park
hiking,heho,ia,herbert hoover national historic site
hiking,hobe,al,horseshoe bend national military park
hiking,hofu,pa,hopewell furnace national historic site
hiking,home,ne,homestead national historical park
hiking,hosp,ar,hot springs national park
hiking,hove,"co,ut",hovenweep national monument
hiking,iatr,wi,ice age national scenic trail
hiking,indu,in,indiana dunes national park
hiking,isro,mi,isle royale national park
hiking,jeca,sd,jewel cave national monument
hiking,joda,or,john day fossil beds national monument
hiking,jofl,pa,johnstown flood national memorial
hiking,jomu,ca,john muir national historic site
hiking,jotr,ca,joshua tree national park
hiking,juba,"az,ca",juan bautista de anza national historic trail
hiking,kaho,hi,kaloko-honokohau national historical park
hiking,katm,ak,katmai national park and preserve
hiking,kaww,me,katahdin woods and waters national monument
hiking,keaq,dc,kenilworth park and aquatic gardens
hiking,kefj,ak,kenai fjords national park
hiking,kemo,ga,kennesaw mountain national battlefield park
hiking,kewe,mi,keweenaw national historical park
hiking,klgo,ak,klondike gold rush national historical park
hiking,knri,nd,knife river indian villages national historic site
hiking,kova,ak,kobuk valley national park
hiking,labe,ca,lava beds national monument
hiking,lacl,ak,lake clark national park and preserve
hiking,lake,"az,nv",lake mead national recreation area
hiking,lamr,tx,lake meredith national recreation area
hiking,laro,wa,lake roosevelt national recreation area
hiking,lavo,ca,lassen volcanic national park
hiking,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
hiking,lewi,"or,wa",lewis and clark national historical park
hiking,libo,in,lincoln boyhood national memorial
hiking,liri,al,little river canyon national preserve
hiking,lode,"pa,nj",lower delaware national wild and scenic river
hiking,lyba,dc,lbj memorial grove on the potomac
hiking,mabi,vt,marsh - billings - rockefeller national historical park
hiking,maca,ky,mammoth cave national park
hiking,mana,va,manassas national battlefield park
hiking,meve,co,mesa verde national park
hiking,mima,ma,minute man national historical park
hiking,miss,mn,mississippi national river and recreation area
hiking,mnrr,"sd,ne",missouri national recreational river
hiking,moja,ca,mojave national preserve
hiking,mono,md,monocacy national battlefield
hiking,mopi,"il,ia,ne,ut,wy",mormon pioneer national historic trail
hiking,mora,wa,mount rainier national park
hiking,morr,nj,morristown national historical park
hiking,muwo,ca,muir woods national monument
hiking,nabr,ut,natural bridges national monument
hiking,natr,"al,ms,tn",natchez trace parkway
hiking,natt,"al,ms,tn",natchez trace national scenic trail
hiking,nava,az,navajo national monument
hiking,neen,"ma,ct",new england national scenic trail
hiking,nepe,"id,mt,or,wa",nez perce national historical park
hiking,neri,wv,new river gorge national park and preserve
hiking,niob,ne,niobrara national scenic river
hiking,noat,ak,noatak national preserve
hiking,noca,wa,north cascades national park
hiking,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
hiking,npnh,ny,national parks of new york harbor
hiking,npsa,as,national park of american samoa
hiking,obed,tn,obed wild and scenic river
hiking,ocmu,ga,ocmulgee mounds national historical park
hiking,olsp,"az,ca,co,nv,nm,ut",old spanish national historic trail
hiking,olym,wa,olympic national park
hiking,orca,or,oregon caves national monument and preserve
hiking,oreg,"id,ks,mo,ne,or,wa,wy",oregon national historic trail
hiking,orpi,az,organ pipe cactus national monument
hiking,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
hiking,oxhi,md,oxon cove park and oxon hill farm
hiking,ozar,mo,ozark national scenic riverways
hiking,paal,tx,palo alto battlefield national historical park
hiking,para,az,grand canyon-parashant national monument
hiking,peco,nm,pecos national historical park
hiking,pefo,az,petrified forest national park
hiking,peri,ar,pea ridge national military park
hiking,pete,va,petersburg national battlefield
hiking,petr,nm,petroglyph national monument
hiking,pinn,ca,pinnacles national park
hiking,piro,mi,pictured rocks national lakeshore
hiking,pisp,az,pipe spring national monument
hiking,poex,"ca,co,ks,mo,ne,nv,ut,wy",pony express national historic trail
hiking,pohe,"dc,md,pa,va",potomac heritage national scenic trail
hiking,popo,la,poverty point national monument
hiking,pore,ca,point reyes national seashore
hiking,prsf,ca,presidio of san francisco
hiking,prwi,va,prince william forest park
hiking,puhe,hi,puukohola heiau national historic site
hiking,puho,hi,puuhonua o honaunau national historical park
hiking,rabr,ut,rainbow bridge national monument
hiking,redw,ca,redwood national and state parks
hiking,reer,sc,reconstruction era national historical park
hiking,rich,va,richmond national battlefield park
hiking,rigr,tx,rio grande wild and scenic river
hiking,rira,mi,river raisin national battlefield park
hiking,rocr,dc,rock creek park
hiking,romo,co,rocky mountain national park
hiking,ruca,al,russell cave national monument
hiking,saan,tx,san antonio missions national historical park
hiking,sacn,"wi,mn",saint croix national scenic riverway
hiking,safe,"co,ks,mo,nm,ok",santa fe national historic trail
hiking,saga,nh,saint-gaudens national historical park
hiking,sagu,az,saguaro national park
hiking,sahi,ny,sagamore hill national historic site
hiking,sajh,wa,san juan island national historical park
hiking,saju,pr,san juan national historic site
hiking,samo,ca,santa monica mountains national recreation area
hiking,sand,co,sand creek massacre national historic site
hiking,sapu,nm,salinas pueblo missions national monument
hiking,sara,ny,saratoga national historical park
hiking,scbl,ne,scotts bluff national monument
hiking,seki,ca,sequoia and kings canyon national parks
hiking,shen,va,shenandoah national park
hiking,sitk,ak,sitka national historical park
hiking,slbe,mi,sleeping bear dunes national lakeshore
hiking,stri,tn,stones river national battlefield
hiking,stsp,"dc,md,va",star-spangled banner national historic trail
hiking,tapr,ks,tallgrass prairie national preserve
hiking,this,dc,theodore roosevelt island
hiking,thro,nd,theodore roosevelt national park
hiking,thst,md,thomas stone national historic site
hiking,tica,ut,timpanogos cave national monument
hiking,timu,fl,timucuan ecological and historic preserve
hiking,tont,az,tonto national monument
hiking,tuma,az,tumacacori national historical park
hiking,tusk,nv,tule springs fossil beds national monument
hiking,tuzi,az,tuzigoot national monument
hiking,upde,"ny,pa",upper delaware scenic and recreational river
hiking,vafo,pa,valley forge national historical park
hiking,vall,nm,valles caldera national preserve
hiking,vama,ny,vanderbilt mansion national historic site
hiking,vick,"ms,la",vicksburg national military park
hiking,viis,vi,virgin islands national park
hiking,voya,mn,voyageurs national park
hiking,waba,ok,washita battlefield national historic site
hiking,waca,az,walnut canyon national monument
hiking,wapa,gu,war in the pacific national historical park
hiking,whis,ca,whiskeytown national recreation area
hiking,whmi,wa,whitman mission national historic site
hiking,whsa,nm,white sands national park
hiking,wica,sd,wind cave national park
hiking,wicr,mo,wilson's creek national battlefield
hiking,wotr,va,wolf trap national park for the performing arts
hiking,wrst,ak,wrangell - st elias national park and preserve
hiking,wupa,az,wupatki national monument
hiking,yell,"id,mt,wy",yellowstone national park
hiking,york,va,yorktown battlefield part of colonial national historical park
hiking,yose,ca,yosemite national park
hiking,yuch,ak,yukon - charley rivers national preserve
hiking,zion,ut,zion national park
horse trekking,acad,me,acadia national park
horse trekking,arch,ut,arches national park
horse trekking,asis,"md,va",assateague island national seashore
horse trekking,badl,sd,badlands national park
horse trekking,biso,"ky,tn",big south fork national river and recreation area
horse trekking,blca,co,black canyon of the gunnison national park
